Ratio_6h	Ratio_12h	Ratio_18h	Ratio_24h	Ratio_30h
ABL1	0.294729550194314	0.205959382824265	0.322489874279651	-0.161327395763507	0.184218029358069
ABL2	-0.291289926866442	-0.295114387705205	-0.407319135920976	-0.516582968174325	-0.361290413673577
ABLIM1	0.52153552193708	1.30086259633117	0.0814480792163351	-0.546873037075094	-0.329229106507154
ABLIM2	0.212902040494555	0.115413633014659	0.682107106467795	0.895195713426919	1.36375491869857
ABR	0.18020734227501	0.280485589786805	0.288456354848119	0.223062676073754	0.491846048591898
ABT1	0.103422974316991	-0.204318173888798	-0.157254168168598	-0.217260657737613	-0.0599399373395345
ABTB1	0.388706517771268	0.708302857547264	0.598554511328061	0.544924839299324	0.645463749796101
ABTB2	0.0196803624391998	0.845463199466725	0.381366383836632	-0.00636855092818058	0.0703623942222579
AC000036.5	0.291865054953948	0.440301825695354	1.08441650323468	0.479409147351335	0.564298799552217
AC000068.5	0.694862596082054	0.771438158747964	0.670268822644386	0.557251751632165	0.683614889114771
AC000078.5	0.539135258725299	0.153548086874182	-0.513100169488964	-1.63276934513126	-0.865761542100758
AC000123.4	-0.832519436049772	-0.322275738724705	-0.363440183977705	-0.165266349828881	-0.0434392853723825
AC002055.4	0.558939734084387	0.991025317681615	0.520145458086929	0.190991701632299	0.453628761089291
AC002056.3	-0.122680944520153	-1.15744813519463	-0.839336644085798	-0.32527222109633	-0.533093624549621
AC002069.5	-1.0336965036574	-0.990813370070608	-1.14730025218288	-0.563859030757709	-0.698426267470247
AC002115.6	0.0485793465719557	0.183170385587518	0.145096696234176	0.205107321839209	0.442561330185321
AC002126.5	0.631383719242579	0.383343829692959	0.448718645470185	0.368580878503655	0.509653191451736
AC002310.1	0.675007663506793	0.191751708796769	0.423185836086617	0.278023397882196	-0.189810399276737
AC002310.2	0.508891252237406	-1.15701925226694	-0.675723388377717	-0.794050510513154	-0.734215055419021
AC002454.1	-0.3982153335202	-1.96036697897748	-2.88198072277504	-0.737369645216574	-1.56417382886647
AC002472.9	1.17922576114223	0.483461010458393	0.718504100218991	0.374883081711969	0.443472770550909
AC003002.1	0.255765628664657	0.0512203953256111	0.545537434083649	0.0641968777485982	0.0972486449385795
AC003665.1	-0.759330962508024	-0.815336686853193	-0.0842456636292757	0.239409630274069	-0.111616550318539
AC003963.1	-0.21421199450044	0.685940744726255	0.552450477415717	0.373219348091624	0.0690962884452334
